participant,question,original_column,phase,response
28,I woke up feeling fresh and rested. (Question identical to WHO-5 Well-Being Index),I woke up feeling fresh and rested. (Question identical to WHO-5 Well-Being Index) .2,after,3 - Sometimes
29,I woke up feeling fresh and rested. (Question identical to WHO-5 Well-Being Index),I woke up feeling fresh and rested. (Question identical to WHO-5 Well-Being Index) .2,after,4 - Often
30,I woke up feeling fresh and rested. (Question identical to WHO-5 Well-Being Index),I woke up feeling fresh and rested. (Question identical to WHO-5 Well-Being Index) .2,after,2 - Rarely
0,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),before,4 - Often
1,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),before,4 - Often
2,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),before,5 - Always
3,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),before,4 - Often
4,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),before,2 - Rarely
5,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),before,3 - Sometimes
6,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),before,4 - Often
7,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),before,4 - Often
8,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),before,4 - Often
9,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),before,2 - Rarely
10,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),before,4 - Often
11,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),before,4 - Often
12,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),before,3 - Sometimes
13,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),before,4 - Often
14,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),before,3 - Sometimes
15,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),before,3 - Sometimes
16,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),before,3 - Sometimes
17,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),before,4 - Often
18,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),before,4 - Often
19,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),before,4 - Often
20,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),before,4 - Often
21,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),before,3 - Sometimes
22,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),before,4 - Often
23,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),before,5 - Always
24,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),before,4 - Often
25,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),before,4 - Often
26,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),before,4 - Often
28,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),before,3 - Sometimes
29,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),before,4 - Often
30,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),before,2 - Rarely
0,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index).1,during,4 - Often
1,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index).1,during,2 - Rarely
2,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index).1,during,3 - Sometimes
3,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index).1,during,4 - Often
4,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index).1,during,4 - Often
5,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index).1,during,2 - Rarely
6,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index).1,during,3 - Sometimes
7,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index).1,during,3 - Sometimes
8,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index).1,during,3 - Sometimes
9,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index).1,during,2 - Rarely
10,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index).1,during,4 - Often
11,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index).1,during,3 - Sometimes
12,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index).1,during,2 - Rarely
13,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index).1,during,2 - Rarely
14,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index).1,during,3 - Sometimes
15,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index).1,during,4 - Often
16,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index).1,during,5 - Always
17,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index).1,during,2 - Rarely
18,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index).1,during,4 - Often
19,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index).1,during,2 - Rarely
20,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index).1,during,2 - Rarely
21,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index).1,during,2 - Rarely
22,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index).1,during,3 - Sometimes
23,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index).1,during,2 - Rarely
24,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index).1,during,4 - Often
25,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index).1,during,5 - Always
26,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index).1,during,2 - Rarely
27,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index).1,during,4 - Often
28,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index).1,during,3 - Sometimes
29,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index).1,during,1 - Never
30,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index).1,during,2 - Rarely
0,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index) .1,after,5 - Always
1,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index) .1,after,3 - Sometimes
2,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index) .1,after,1 - Never
3,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index) .1,after,4 - Often
4,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index) .1,after,3 - Sometimes
5,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index) .1,after,3 - Sometimes
6,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index) .1,after,3 - Sometimes
7,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index) .1,after,3 - Sometimes
8,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index) .1,after,4 - Often
9,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index) .1,after,2 - Rarely
10,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index) .1,after,4 - Often
11,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index) .1,after,4 - Often
12,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index) .1,after,4 - Often
13,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index) .1,after,4 - Often
14,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index) .1,after,3 - Sometimes
15,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index) .1,after,4 - Often
16,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index) .1,after,3 - Sometimes
17,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index) .1,after,3 - Sometimes
18,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index) .1,after,4 - Often
19,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index) .1,after,4 - Often
20,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index) .1,after,2 - Rarely
21,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index) .1,after,5 - Always
22,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index) .1,after,4 - Often
23,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index) .1,after,2 - Rarely
24,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index) .1,after,4 - Often
25,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index) .1,after,3 - Sometimes
26,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index) .1,after,4 - Often
27,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index) .1,after,4 - Often
28,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index) .1,after,3 - Sometimes
29,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index) .1,after,4 - Often
30,My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index),My daily life has been filled with things that interest me. (Question identical to WHO-5 Well-Being Index) .1,after,2 - Rarely
0,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),before,2 - Disagree
1,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),before,4 - Agree
2,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),before,4 - Agree
3,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),before,2 - Disagree
4,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),before,5 - Strongly Agree
5,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),before,3 - Neither disagree or agree
6,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),before,4 - Agree
7,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),before,3 - Neither disagree or agree
8,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),before,2 - Disagree
9,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),before,4 - Agree
10,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),before,3 - Neither disagree or agree
11,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),before,2 - Disagree
12,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),before,3 - Neither disagree or agree
13,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),before,4 - Agree
14,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),before,3 - Neither disagree or agree
15,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),before,4 - Agree
16,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),before,2 - Disagree
17,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),before,3 - Neither disagree or agree
18,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),before,3 - Neither disagree or agree
19,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),before,2 - Disagree
20,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),before,2 - Disagree
21,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),before,2 - Disagree
22,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),before,2 - Disagree
23,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),before,3 - Neither disagree or agree
24,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),before,4 - Agree
25,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),before,1 - Strongly Disagree
26,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),before,3 - Neither disagree or agree
28,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),before,2 - Disagree
29,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),before,4 - Agree
30,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),before,4 - Agree
0,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)) .1,during,2 - Disagree
1,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)) .1,during,5 - Strongly Agree
2,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)) .1,during,3 - Neither disagree or agree
3,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)) .1,during,2 - Disagree
4,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)) .1,during,4 - Agree
5,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)) .1,during,4 - Agree
6,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)) .1,during,4 - Agree
7,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)) .1,during,5 - Strongly Agree
8,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)) .1,during,4 - Agree
9,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)) .1,during,5 - Strongly Agree
10,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)) .1,during,3 - Neither disagree or agree
11,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)) .1,during,4 - Agree
12,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)) .1,during,3 - Neither disagree or agree
13,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)) .1,during,4 - Agree
14,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)) .1,during,3 - Neither disagree or agree
15,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)) .1,during,2 - Disagree
16,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)) .1,during,4 - Agree
17,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)) .1,during,4 - Agree
18,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)) .1,during,3 - Neither disagree or agree
19,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)) .1,during,4 - Agree
20,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)) .1,during,5 - Strongly Agree
21,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)) .1,during,5 - Strongly Agree
22,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)) .1,during,3 - Neither disagree or agree
23,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)) .1,during,5 - Strongly Agree
24,I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)),I felt significantly anxious or stressed. (Question adapted from PHQ-9 Adaptation; Hӧhne et al. (2022)) .1,during,2 - Disagree
